vertex angle,acceptance,stat_err
3.0125,0.000761004,0.000155392
3.0375,0.000931033,0.000172975
3.0625,0.00120282,0.000200465
3.0875,0.000646051,0.000148236
3.1125,0.000706818,0.000158115
3.1375,0.00135369,0.000219657
3.1625,0.00113271,0.000203378
3.1875,0.000940833,0.000188266
3.2125,0.00131096,0.000224886
3.2375,0.00134533,0.000230788
3.2625,0.00136983,0.000235009
3.2875,0.00127349,0.000228862
3.3125,0.00137898,0.000240099
3.3375,0.00178437,0.000278856
3.3625,0.00195263,0.000294508
3.3875,0.00199663,0.000301225
3.4125,0.00223818,0.000319778
3.4375,0.00307506,0.000381301
3.4625,0.00288054,0.000371778
3.4875,0.00377395,0.000429895
3.5125,0.00478434,0.000487938
3.5375,0.00504398,0.000511803
3.5625,0.00519815,0.000522158
3.5875,0.00720886,0.000619961
3.6125,0.00656189,0.000596127
3.6375,0.00958287,0.000727418
3.6625,0.0116451,0.000817651
3.6875,0.0113891,0.000824443
3.7125,0.0169725,0.00100204
3.7375,0.0182072,0.00105105
3.7625,0.020272,0.0011065
3.7875,0.0258354,0.00127371
3.8125,0.0299692,0.00137195
3.8375,0.036366,0.00153847
3.8625,0.0469274,0.00175373
3.8875,0.0530865,0.00187938
3.9125,0.0617933,0.00204354
3.9375,0.0704575,0.00219433
3.9625,0.0830875,0.00239222
3.9875,0.0993721,0.00265614
4.0125,0.108217,0.00278594
4.0375,0.129625,0.0030273
4.0625,0.145564,0.0032149
4.0875,0.164115,0.00349397
4.1125,0.181178,0.00364413
4.1375,0.211917,0.00395326
4.1625,0.219769,0.00406275
4.1875,0.240031,0.00427552
4.2125,0.265382,0.00447951
4.2375,0.287688,0.00468218
4.2625,0.320227,0.00494352
4.2875,0.336036,0.00509056
4.3125,0.352331,0.00521963
4.3375,0.380213,0.00546178
4.3625,0.394513,0.00558987
4.3875,0.407014,0.00566479
4.4125,0.428544,0.0057997
4.4375,0.461643,0.00607687
4.4625,0.486985,0.00616086
4.4875,0.478472,0.0062428
4.5125,0.520243,0.00649455
4.5375,0.529269,0.00666275
4.5625,0.541939,0.00667228
4.5875,0.573674,0.00680562
4.6125,0.560729,0.00695135
4.6375,0.56527,0.00693911
4.6625,0.589335,0.00711359
4.6875,0.579162,0.0070624
4.7125,0.59511,0.0072272
4.7375,0.597178,0.00726759
4.7625,0.597673,0.00737533
4.7875,0.599092,0.00736473
4.8125,0.600227,0.00744095
4.8375,0.606676,0.00757595
4.8625,0.598756,0.00755247
4.8875,0.602022,0.00759551
4.9125,0.58581,0.00765245
4.9375,0.586957,0.00769509
4.9625,0.610702,0.00779083
4.9875,0.591459,0.00772693
5.0125,0.576577,0.00782881
5.0375,0.583676,0.00802192
5.0625,0.59218,0.00799965
5.0875,0.5682,0.00810642
5.1125,0.575172,0.00807346
5.1375,0.567119,0.00804835
5.1625,0.566967,0.00824282
5.1875,0.567808,0.00828974
5.2125,0.567542,0.00819992
5.2375,0.574494,0.00852603
5.2625,0.561448,0.00846705
5.2875,0.565491,0.0084587
5.3125,0.560383,0.00850601
5.3375,0.543321,0.0084865
5.3625,0.536191,0.00845772
5.3875,0.536083,0.00855403
5.4125,0.549574,0.00851401
5.4375,0.537212,0.00870379
5.4625,0.541148,0.00872177
5.4875,0.521061,0.00865764
5.5125,0.517225,0.00881927
5.5375,0.527938,0.00899491
5.5625,0.516993,0.00888283
5.5875,0.504764,0.00877806
5.6125,0.506342,0.00881223
5.6375,0.493908,0.00896036
5.6625,0.484887,0.00888145
5.6875,0.437024,0.00863373
5.7125,0.454238,0.00875156
5.7375,0.467613,0.00888117
5.7625,0.42667,0.00885796
5.7875,0.395852,0.008522
5.8125,0.392809,0.00854267
5.8375,0.36432,0.00821732
5.8625,0.367474,0.00851759
5.8875,0.336637,0.00801427
5.9125,0.312334,0.00808954
5.9375,0.316548,0.00810186
5.9625,0.304671,0.00799733
5.9875,0.264543,0.00753748
6.0125,0.250731,0.00760997
6.0375,0.217087,0.00705325
6.0625,0.204098,0.00692342
6.0875,0.16692,0.00622602
6.1125,0.175775,0.00658812
6.1375,0.143254,0.00606075
6.1625,0.140615,0.00604504
6.1875,0.122896,0.00567835
