vertex angle,acceptance,stat_err
3.0125,0.000357319,7.2962e-05
3.0375,0.000437154,8.1218e-05
3.0625,0.000564768,9.41257e-05
3.0875,0.000303344,6.96024e-05
3.1125,0.000331877,7.42409e-05
3.1375,0.000635607,0.000103137
3.1625,0.000531848,9.54933e-05
3.1875,0.000441756,8.83979e-05
3.2125,0.000615542,0.000105592
3.2375,0.000631684,0.000108364
3.2625,0.000643183,0.000110345
3.2875,0.000597952,0.000107459
3.3125,0.00064748,0.000112735
3.3375,0.000837827,0.000130933
3.3625,0.000916829,0.000138282
3.3875,0.000937492,0.000141436
3.4125,0.0010509,0.000150148
3.4375,0.00144385,0.000179035
3.4625,0.00135252,0.000174563
3.4875,0.001772,0.000201852
3.5125,0.00224642,0.000229105
3.5375,0.00236833,0.00024031
3.5625,0.00244072,0.000245172
3.5875,0.00338482,0.000291094
3.6125,0.00308105,0.000279903
3.6375,0.00449951,0.000341549
3.6625,0.00546779,0.000383917
3.6875,0.00534758,0.000387106
3.7125,0.00796922,0.000470492
3.7375,0.00854895,0.000493504
3.7625,0.00951846,0.000519544
3.7875,0.0121307,0.000598055
3.8125,0.0140716,0.00064418
3.8375,0.0170752,0.000722366
3.8625,0.0220341,0.000823438
3.8875,0.024926,0.000882438
3.9125,0.0290142,0.000959515
3.9375,0.0330824,0.00103032
3.9625,0.0390126,0.00112323
3.9875,0.0466588,0.00124715
4.0125,0.050812,0.0013081
4.0375,0.0608635,0.00142143
4.0625,0.0683477,0.00150951
4.0875,0.077058,0.00164055
4.1125,0.0850696,0.00171105
4.1375,0.0995027,0.0018562
4.1625,0.10319,0.00190761
4.1875,0.112703,0.00200751
4.2125,0.124606,0.00210329
4.2375,0.13508,0.00219845
4.2625,0.150358,0.00232116
4.2875,0.157781,0.0023902
4.3125,0.165432,0.00245081
4.3375,0.178524,0.00256451
4.3625,0.185238,0.00262465
4.3875,0.191108,0.00265983
4.4125,0.201217,0.00272317
4.4375,0.216758,0.00285331
4.4625,0.228657,0.00289275
4.4875,0.22466,0.00293122
4.5125,0.244273,0.00304943
4.5375,0.248511,0.00312841
4.5625,0.25446,0.00313288
4.5875,0.269361,0.00319549
4.6125,0.263283,0.00326391
4.6375,0.265415,0.00325817
4.6625,0.276714,0.00334009
4.6875,0.271938,0.00331605
4.7125,0.279426,0.00339343
4.7375,0.280397,0.0034124
4.7625,0.280629,0.00346298
4.7875,0.281295,0.00345801
4.8125,0.281829,0.0034938
4.8375,0.284857,0.00355719
4.8625,0.281138,0.00354616
4.8875,0.282671,0.00356637
4.9125,0.275059,0.0035931
4.9375,0.275598,0.00361312
4.9625,0.286747,0.00365808
4.9875,0.277712,0.00362807
5.0125,0.270724,0.00367591
5.0375,0.274057,0.00376658
5.0625,0.27805,0.00375613
5.0875,0.266791,0.00380626
5.1125,0.270064,0.00379078
5.1375,0.266283,0.003779
5.1625,0.266212,0.0038703
5.1875,0.266607,0.00389233
5.2125,0.266482,0.00385016
5.2375,0.269746,0.00400328
5.2625,0.26362,0.00397559
5.2875,0.265518,0.00397167
5.3125,0.26312,0.00399388
5.3375,0.255109,0.00398472
5.3625,0.251761,0.00397121
5.3875,0.25171,0.00401643
5.4125,0.258045,0.00399764
5.4375,0.252241,0.00408675
5.4625,0.254089,0.00409519
5.4875,0.244657,0.00406508
5.5125,0.242856,0.00414097
5.5375,0.247886,0.00422344
5.5625,0.242747,0.00417081
5.5875,0.237005,0.00412162
5.6125,0.237746,0.00413766
5.6375,0.231908,0.00420721
5.6625,0.227672,0.00417016
5.6875,0.205199,0.00405385
5.7125,0.213281,0.00410918
5.7375,0.219561,0.00417003
5.7625,0.200337,0.00415913
5.7875,0.185867,0.00400139
5.8125,0.184438,0.00401109
5.8375,0.171062,0.00385833
5.8625,0.172543,0.00399932
5.8875,0.158063,0.00376299
5.9125,0.146652,0.00379833
5.9375,0.148631,0.00380412
5.9625,0.143054,0.00375504
5.9875,0.124212,0.00353912
6.0125,0.117728,0.00357316
6.0375,0.10193,0.00331176
6.0625,0.0958314,0.0032508
6.0875,0.078375,0.00292334
6.1125,0.0825327,0.00309336
6.1375,0.0672631,0.00284574
6.1625,0.0660239,0.00283837
6.1875,0.0577044,0.00266619
6.2125,0.050779,0.00249093
6.2375,0.0402109,0.00228444
6.2625,0.039333,0.00224677
6.2875,0.0300487,0.00200015
6.3125,0.0291873,0.00197623
6.3375,0.0188002,0.00159828
6.3625,0.0243141,0.00183774
6.3875,0.0160212,0.00150987
6.4125,0.0134112,0.00136759
6.4375,0.0117377,0.00133023
6.4625,0.00904061,0.00113517
6.4875,0.00865677,0.00114226
6.5125,0.00510806,0.000887269
6.5375,0.00396553,0.000763413
6.5625,0.00386231,0.000772077
6.5875,0.00374158,0.000763397
6.6125,0.00236124,0.000609388
6.6375,0.00203863,0.000565476
6.6625,0.00233282,0.000602688
6.6875,0.00189267,0.00054649
6.7125,0.00149108,0.00049775
6.7375,0.00131013,0.000464302
6.7625,0.00114141,0.000432098
6.7875,0.000700793,0.000350565
6.8125,0.000509419,0.000294127
6.8375,0.000869075,0.000389433
6.8625,0.000540943,0.000312719
6.8875,0.000725088,0.000362743
6.9125,0.00073512,0.000366443
6.9375,0.000535826,0.000309841
6.9625,0.000194083,0.000194158
6.9875,0.000984665,0.000439639
7.0125,0.000739204,0.000370311
7.0375,0.000368928,0.000261464
7.0625,0.000576192,0.000332761
7.0875,0,0
7.1125,0.000193842,0.000193885
7.1375,0,0
7.1625,0.000592338,0.000341823
7.1875,0.00020706,0.000206441
7.2125,0.00061926,0.000357635
7.2375,0,0
7.2625,0,0
7.2875,0,0
7.3125,0,0
7.3375,0,0
7.3625,0.00020818,0.000209315
7.3875,0.000224282,0.000225347
7.4125,0,0
7.4375,0.000221096,0.00022042
7.4625,0.000228246,0.000229151
7.4875,0.000461801,0.000327079
7.5125,0,0
7.5375,0,0
7.5625,0,0
7.5875,0,0
7.6125,0,0
7.6375,0,0
7.6625,0,0
7.6875,0,0
7.7125,0.00024748,0.000248558
7.7375,0.000251675,0.000251981
7.7625,0,0
7.7875,0,0
7.8125,0.000259381,0.000259466
7.8375,0,0
7.8625,0.000274495,0.000274995
7.8875,0,0
7.9125,0,0
7.9375,0,0
7.9625,0,0
7.9875,0,0
