vertex angle,acceptance,stat_err
3,0,0
3.005,0,0
3.01,0,0
3.015,0.000778007,0
3.02,0.000812013,0
3.025,0.000846018,0
3.03,0.000880024,0
3.035,0.00091403,0
3.04,0.000958212,0
3.045,0.00101257,0
3.05,0.00106693,0
3.055,0.00112128,0
3.06,0.00117564,0
3.065,0.00114714,0
3.07,0.00103579,0
3.075,0.000924435,0
3.08,0.000813082,0
3.085,0.000701728,0
3.09,0.000652128,0
3.095,0.000664281,0
3.1,0.000676434,0
3.105,0.000688588,0
3.11,0.000700741,0
3.115,0.000771505,0
3.12,0.00090088,0
3.125,0.00103025,0
3.13,0.00115963,0
3.135,0.001289,0
3.14,0.00133159,0
3.145,0.0012874,0
3.15,0.0012432,0
3.155,0.001199,0
3.16,0.00115481,0
3.165,0.00111352,0
3.17,0.00107515,0
3.175,0.00103677,0
3.18,0.000998396,0
3.185,0.000960021,0
3.19,0.000977846,0
3.195,0.00105187,0
3.2,0.0011259,0
3.205,0.00119992,0
3.21,0.00127394,0
3.215,0.00131439,0
3.22,0.00132127,0
3.225,0.00132815,0
3.23,0.00133502,0
3.235,0.0013419,0
3.24,0.00134778,0
3.245,0.00135268,0
3.25,0.00135758,0
3.255,0.00136248,0
3.26,0.00136738,0
3.265,0.00136019,0
3.27,0.00134093,0
3.275,0.00132166,0
3.28,0.00130239,0
3.285,0.00128313,0
3.29,0.00128404,0
3.295,0.00130514,0
3.3,0.00132624,0
3.305,0.00134733,0
3.31,0.00136843,0
3.315,0.00141952,0
3.32,0.0015006,0
3.325,0.00158167,0
3.33,0.00166275,0
3.335,0.00174383,0
3.34,0.0018012,0
3.345,0.00183485,0
3.35,0.0018685,0
3.355,0.00190215,0
3.36,0.0019358,0
3.365,0.00195703,0
3.37,0.00196583,0
3.375,0.00197463,0
3.38,0.00198343,0
3.385,0.00199223,0
3.39,0.00202079,0
3.395,0.0020691,0
3.4,0.0021174,0
3.405,0.00216571,0
3.41,0.00221402,0
3.415,0.00232186,0
3.42,0.00248924,0
3.425,0.00265662,0
3.43,0.00282399,0
3.435,0.00299137,0
3.44,0.00305561,0
3.445,0.0030167,0
3.45,0.0029778,0
3.455,0.0029389,0
3.46,0.00289999,0
3.465,0.00296988,0
3.47,0.00314856,0
3.475,0.00332724,0
3.48,0.00350592,0
3.485,0.0036846,0
3.49,0.00387498,0
3.495,0.00407706,0
3.5,0.00427914,0
3.505,0.00448122,0
3.51,0.0046833,0
3.515,0.0048103,0
3.52,0.00486223,0
3.525,0.00491416,0
3.53,0.00496609,0
3.535,0.00501802,0
3.54,0.0050594,0
3.545,0.00509023,0
3.55,0.00512106,0
3.555,0.0051519,0
3.56,0.00518273,0
3.565,0.00539922,0
3.57,0.00580136,0
3.575,0.0062035,0
3.58,0.00660564,0
3.585,0.00700778,0
3.59,0.00714416,0
3.595,0.00701477,0
3.6,0.00688537,0
3.605,0.00675598,0
3.61,0.00662659,0
3.615,0.00686399,0
3.62,0.00746818,0
3.625,0.00807238,0
3.63,0.00867657,0
3.635,0.00928077,0
3.64,0.00978909,0
3.645,0.0102015,0
3.65,0.010614,0
3.655,0.0110264,0
3.66,0.0114389,0
3.665,0.0116195,0
3.67,0.0115683,0
3.675,0.0115171,0
3.68,0.0114659,0
3.685,0.0114147,0
3.69,0.0119474,0
3.695,0.0130641,0
3.7,0.0141808,0
3.705,0.0152975,0
3.71,0.0164142,0
3.715,0.017096,0
3.72,0.0173429,0
3.725,0.0175899,0
3.73,0.0178368,0
3.735,0.0180837,0
3.74,0.0184137,0
3.745,0.0188267,0
3.75,0.0192396,0
3.755,0.0196526,0
3.76,0.0200656,0
3.765,0.0208284,0
3.77,0.021941,0
3.775,0.0230537,0
3.78,0.0241664,0
3.785,0.0252791,0
3.79,0.0262488,0
3.795,0.0270755,0
3.8,0.0279023,0
3.805,0.028729,0
3.81,0.0295558,0
3.815,0.0306088,0
3.82,0.0318882,0
3.825,0.0331676,0
3.83,0.0344469,0
3.835,0.0357263,0
3.84,0.0374221,0
3.845,0.0395344,0
3.85,0.0416467,0
3.855,0.0437589,0
3.86,0.0458712,0
3.865,0.0475433,0
3.87,0.0487751,0
3.875,0.0500069,0
3.88,0.0512387,0
3.885,0.0524705,0
3.89,0.0539571,0
3.895,0.0556985,0
3.9,0.0574399,0
3.905,0.0591812,0
3.91,0.0609226,0
3.915,0.0626597,0
3.92,0.0643926,0
3.925,0.0661254,0
3.93,0.0678583,0
3.935,0.0695911,0
3.94,0.0717205,0
3.945,0.0742465,0
3.95,0.0767725,0
3.955,0.0792985,0
3.96,0.0818245,0
3.965,0.084716,0
3.97,0.0879729,0
3.975,0.0912298,0
3.98,0.0944867,0
3.985,0.0977436,0
3.99,0.100257,0
3.995,0.102026,0
4,0.103795,0
4.005,0.105564,0
4.01,0.107333,0
4.015,0.110358,0
4.02,0.11464,0
4.025,0.118921,0
4.03,0.123202,0
4.035,0.127484,0
4.04,0.131219,0
4.045,0.134407,0
4.05,0.137594,0
4.055,0.140782,0
4.06,0.14397,0
4.065,0.147419,0
4.07,0.151129,0
4.075,0.15484,0
4.08,0.15855,0
4.085,0.16226,0
4.09,0.165821,0
4.095,0.169234,0
4.1,0.172646,0
4.105,0.176059,0
4.11,0.179472,0
4.115,0.184252,0
4.12,0.1904,0
4.125,0.196547,0
4.13,0.202695,0
4.135,0.208843,0
4.14,0.212702,0
4.145,0.214273,0
4.15,0.215843,0
4.155,0.217413,0
4.16,0.218984,0
4.165,0.221795,0
4.17,0.225848,0
4.175,0.2299,0
4.18,0.233952,0
4.185,0.238005,0
4.19,0.242566,0
4.195,0.247636,0
4.2,0.252706,0
4.205,0.257776,0
4.21,0.262847,0
4.215,0.267612,0
4.22,0.272074,0
4.225,0.276535,0
4.23,0.280996,0
4.235,0.285458,0
4.24,0.290942,0
4.245,0.29745,0
4.25,0.303958,0
4.255,0.310465,0
4.26,0.316973,0
4.265,0.321808,0
4.27,0.32497,0
4.275,0.328132,0
4.28,0.331293,0
4.285,0.334455,0
4.29,0.337666,0
4.295,0.340925,0
4.3,0.344184,0
4.305,0.347443,0
4.31,0.350702,0
4.315,0.355119,0
4.32,0.360696,0
4.325,0.366272,0
4.33,0.371848,0
4.335,0.377425,0
4.34,0.381643,0
4.345,0.384503,0
