vertex angle,acceptance,stat_err
3.025,0.000369661,0.000184752
3.075,0.000583059,0.000238007
3.125,0.000308205,0.000178054
3.175,0.000538727,0.000240511
3.225,0.000553543,0.00024781
3.275,0.00104692,0.000349174
3.325,0.00121066,0.000382552
3.375,0.00168582,0.000466386
3.425,0.00143699,0.000432957
3.475,0.00208878,0.000538623
3.525,0.00317988,0.000677411
3.575,0.00491465,0.000866181
3.625,0.00649558,0.00101091
3.675,0.00618539,0.00101441
3.725,0.00908194,0.00125535
3.775,0.0149112,0.00162504
3.825,0.0229675,0.00205594
3.875,0.0311477,0.00244677
3.925,0.0433993,0.00289585
3.975,0.0592548,0.00343461
4.025,0.0737516,0.0038491
4.075,0.102965,0.00456676
4.125,0.122603,0.0050407
4.175,0.142485,0.00544941
4.225,0.183921,0.00615584
4.275,0.189937,0.00627401
4.325,0.227257,0.00681813
4.375,0.242533,0.00708816
4.425,0.279815,0.00769775
4.475,0.314431,0.00814569
4.525,0.30578,0.00820824
4.575,0.337882,0.00847526
4.625,0.339709,0.00868776
4.675,0.377435,0.0089587
4.725,0.37622,0.00912296
4.775,0.372034,0.00923124
4.825,0.35541,0.00919974
4.875,0.37361,0.00939076
4.925,0.358588,0.00939701
4.975,0.354127,0.00946597
5.025,0.344775,0.00974909
5.075,0.33196,0.00998165
5.125,0.325036,0.0097524
5.175,0.323992,0.0100014
5.225,0.353576,0.010287
5.275,0.332646,0.0102894
5.325,0.322527,0.0105484
5.375,0.311032,0.0102526
5.425,0.31899,0.0109528
5.475,0.303884,0.0106422
5.525,0.31144,0.0109036
5.575,0.301024,0.0110742
5.625,0.304704,0.0112136
5.675,0.282897,0.0110389
5.725,0.256018,0.0107745
5.775,0.256452,0.0110642
5.825,0.219748,0.0106741
5.875,0.207439,0.0103837
5.925,0.18532,0.0103486
5.975,0.165336,0.00976347
6.025,0.163041,0.0102776
6.075,0.113139,0.00868635
6.125,0.0955611,0.00802886
6.175,0.0621399,0.00676687
6.225,0.0543671,0.00665478
6.275,0.0399114,0.00563478
6.325,0.0296848,0.00509216
6.375,0.0203008,0.0042819
6.425,0.0116259,0.00320894
6.475,0.0121995,0.00334989
6.525,0.00785845,0.00260742
6.575,0.00763533,0.00269042
6.625,0.00494677,0.00220228
6.675,0.00194006,0.00136655
6.725,0.00205237,0.00144801
6.775,0.00305135,0.00176024
6.825,0.00103797,0.00104533
6.875,0,0
6.925,0.0011236,0.00111186
6.975,0,0
7.025,0,0
7.075,0,0
7.125,0.00125794,0.00126922
7.175,0,0
7.225,0,0
7.275,0,0
7.325,0,0
7.375,0.00138177,0.00137874
7.425,0,0
7.475,0,0
7.525,0,0
7.575,0,0
7.625,0,0
7.675,0,0
7.725,0,0
7.775,0,0
7.825,0,0
7.875,0,0
7.925,0,0
7.975,0,0
